          vname       code                                                                                                   short
173       rooms         12                                                                                                      12
174       rooms         13                                                                                                      13
175       rooms         14                                                                                                      14
176       rooms         15                                                                                                      15
177       rooms         16                                                                                                      16
178       rooms         17                                                                                                      17
179       rooms         18                                                                                                      18
180       rooms         19                                                                                                      19
181       rooms         20                                                                                                      20
182       rooms         21                                                                                                      21
183       rooms         22                                                                                                      22
184       rooms         23                                                                                                      23
185       rooms         24                                                                                                      24
186       rooms         25                                                                                                      25
187       rooms         26                                                                                                      26
188       rooms         27                                                                                                      27
189       rooms         28                                                                                                      28
190       rooms         29                                                                                                      29
191       rooms         30                                                                                                      30
192       rooms         99                                                                                                     NIU
193    nperroom          0                                                                                                       0
194    nperroom          1                                                                                                     0.1
195    nperroom          2                                                                                                     0.2
196    nperroom          3                                                                                                     0.3
197    nperroom          4                                                                                                     0.4
198    nperroom          5                                                                                                     0.5
199    nperroom          6                                                                                                     0.6
200    nperroom          7                                                                                                     0.7
201    nperroom          8                                                                                                     0.8
202    nperroom          9                                                                                                     0.9
203    nperroom         10                                                                                                       1
204    nperroom         11                                                                                                     1.1
205    nperroom         12                                                                                                     1.2
206    nperroom         13                                                                                                     1.3
207    nperroom         14                                                                                                     1.4
208    nperroom         15                                                                                                     1.5
209    nperroom         16                                                                                                     1.6
210    nperroom         17                                                                                                     1.7
211    nperroom         18                                                                                                     1.8
212    nperroom         19                                                                                                     1.9
213    nperroom         20                                                                                                       2
214    nperroom         21                                                                                                     2.1
215    nperroom         22                                                                                                     2.2
216    nperroom         23                                                                                                     2.3
217    nperroom         24                                                                                                     2.4
218    nperroom         25                                                                                                     2.5
219    nperroom         26                                                                                                     2.6
220    nperroom         27                                                                                                     2.7
221    nperroom         28                                                                                                     2.8
222    nperroom         29                                                                                                     2.9
223    nperroom         30                                                                                                       3
224    nperroom         31                                                                                                     3.1
225    nperroom         32                                                                                                     3.2
226    nperroom         33                                                                                                     3.3
227    nperroom         34                                                                                                     3.4
228    nperroom         35                                                                                                     3.5
229    nperroom         36                                                                                                     3.6
230    nperroom         37                                                                                                     3.7
231    nperroom         38                                                                                                     3.8
232    nperroom         39                                                                                                     3.9
233    nperroom         40                                                                                                       4
234    nperroom         42                                                                                                     4.2
235    nperroom         43                                                                                                     4.3
236    nperroom         44                                                                                                     4.4
237    nperroom         45                                                                                                     4.5
238    nperroom         47                                                                                                     4.7
239    nperroom         48                                                                                                     4.8
240    nperroom         50                                                                                                       5
241    nperroom         52                                                                                                     5.2
242    nperroom         53                                                                                                     5.3
243    nperroom         55                                                                                                     5.5
244    nperroom         57                                                                                                     5.7
245    nperroom         58                                                                                                     5.8
246    nperroom         60                                                                                                       6
247    nperroom         63                                                                                                     6.3
248    nperroom         65                                                                                                     6.5
249    nperroom         67                                                                                                     6.7
250    nperroom         68                                                                                                     6.8
251    nperroom         70                                                                                                       7
252    nperroom         75                                                                                                     7.5
253    nperroom         80                                                                                                       8
254    nperroom         85                                                                                                     8.5
255    nperroom         90                                                                                                       9
256    nperroom         95                                                                                                     9.5
